locusts,left-grass,right-grass
50,2142,2187
50,2104,2187
50,2067,2187
49,2042,2187
49,2009,2187
49,1992,2187
47,1971,2187
46,1962,2187
46,1945,2187
45,1930,2187
45,1921,2187
45,1901,2187
44,1890,2187
44,1869,2187
41,1861,2187
40,1855,2187
40,1850,2187
40,1848,2187
40,1853,2187
38,1840,2187
37,1842,2187
36,1847,2187
36,1844,2187
36,1842,2187
38,1850,2187
39,1849,2187
40,1849,2187
40,1844,2187
39,1845,2187
42,1843,2187
41,1844,2187
43,1848,2187
47,1839,2187
49,1838,2187
47,1838,2187
50,1834,2187
52,1829,2187
52,1834,2187
58,1819,2187
65,1802,2187
69,1784,2187
73,1759,2187
77,1737,2187
82,1709,2187
84,1697,2187
87,1680,2187
86,1662,2187
85,1646,2187
85,1638,2187
85,1618,2187
81,1628,2187
81,1618,2187
78,1616,2187
75,1618,2187
76,1614,2187
79,1622,2187
75,1613,2187
71,1608,2187
73,1609,2187
75,1609,2187
72,1611,2187
72,1605,2187
73,1609,2187
71,1621,2187
72,1616,2187
72,1618,2187
70,1615,2187
65,1617,2187
64,1632,2187
63,1626,2187
65,1626,2187
69,1615,2187
75,1613,2187
74,1616,2187
73,1599,2187
71,1594,2187
74,1595,2187
79,1588,2187
76,1583,2187
75,1578,2187
79,1566,2187
80,1562,2187
79,1550,2187
81,1543,2187
83,1536,2187
83,1533,2187
83,1532,2187
84,1525,2187
84,1521,2187
89,1520,2187
95,1513,2187
98,1503,2187
94,1490,2187
92,1488,2187
92,1489,2187
96,1479,2187
99,1475,2187
101,1476,2187
96,1459,2187
98,1446,2187
92,1439,2187
91,1437,2187
88,1436,2187
91,1434,2187
90,1433,2187
88,1429,2187
90,1440,2187
90,1442,2187
86,1456,2187
85,1445,2187
85,1432,2187
84,1425,2187
85,1426,2187
87,1427,2187
85,1432,2187
84,1438,2187
85,1446,2187
85,1458,2187
85,1447,2187
85,1444,2187
87,1437,2187
85,1452,2187
84,1456,2187
83,1468,2187
85,1469,2187
86,1465,2187
86,1474,2187
80,1469,2187
79,1482,2187
77,1501,2187
74,1500,2187
76,1503,2187
73,1512,2187
72,1534,2187
73,1552,2187
75,1545,2187
77,1536,2187
76,1539,2187
72,1537,2187
76,1526,2187
80,1533,2187
81,1539,2187
83,1540,2187
80,1530,2187
83,1525,2187
83,1524,2187
82,1532,2187
77,1535,2187
77,1536,2187
77,1537,2187
76,1523,2187
78,1529,2187
80,1514,2187
78,1522,2187
77,1519,2187
75,1515,2187
77,1508,2187
79,1508,2187
80,1506,2187
80,1498,2187
81,1491,2187
83,1490,2187
81,1494,2187
85,1489,2187
86,1481,2187
86,1487,2187
87,1482,2187
87,1472,2187
87,1475,2187
89,1458,2187
95,1454,2187
99,1449,2187
102,1437,2187
106,1432,2187
107,1425,2187
105,1428,2187
101,1420,2187
95,1413,2187
93,1412,2187
96,1407,2187
92,1430,2187
92,1431,2187
95,1426,2187
97,1433,2187
95,1438,2187
91,1445,2187
91,1442,2187
91,1449,2187
88,1450,2187
85,1450,2187
84,1452,2187
80,1460,2187
78,1479,2187
76,1479,2187
75,1483,2187
69,1493,2187
70,1495,2187
68,1505,2187
69,1516,2187
70,1521,2187
75,1539,2187
75,1535,2187
74,1530,2187
74,1539,2187
68,1537,2187
69,1544,2187
71,1545,2187
74,1547,2187
78,1532,2187
75,1534,2187
77,1532,2187
80,1522,2187
78,1507,2187
78,1512,2187
78,1516,2187
80,1502,2187
81,1510,2187
83,1508,2187
84,1509,2187
87,1507,2187
90,1505,2187
91,1515,2187
89,1501,2187
85,1490,2187
84,1478,2187
86,1461,2187
88,1453,2187
94,1438,2187
96,1413,2187
97,1410,2187
95,1397,2187
96,1392,2187
96,1385,2187
95,1384,2187
98,1380,2187
98,1374,2187
98,1372,2187
102,1369,2187
105,1376,2187
99,1380,2187
96,1377,2187
94,1377,2187
95,1373,2187
96,1384,2187
90,1378,2187
94,1373,2187
98,1361,2187
104,1354,2187
101,1346,2187
100,1341,2187
101,1341,2187
102,1324,2187
95,1320,2187
96,1326,2187
92,1313,2187
95,1313,2187
91,1333,2187
88,1333,2187
87,1338,2187
88,1349,2187
89,1350,2187
85,1348,2187
87,1355,2187
88,1360,2187
87,1359,2187
86,1380,2187
83,1391,2187
79,1400,2187
80,1403,2187
82,1413,2187
79,1417,2187
80,1423,2187
80,1421,2187
80,1428,2187
84,1419,2187
82,1431,2187
86,1427,2187
90,1427,2187
92,1419,2187
93,1410,2187
97,1404,2187
95,1404,2187
93,1409,2187
96,1410,2187
96,1405,2187
97,1399,2187
98,1402,2187
97,1391,2187
97,1396,2187
98,1406,2187
98,1406,2187
98,1389,2187
96,1398,2187
93,1381,2187
96,1391,2187
97,1389,2187
96,1393,2187
93,1388,2187
90,1392,2187
90,1394,2187
91,1391,2187
88,1385,2187
84,1403,2187
85,1413,2187
89,1421,2187
85,1427,2187
89,1428,2187
85,1428,2187
82,1441,2187
82,1454,2187
84,1461,2187
84,1471,2187
82,1481,2187
83,1484,2187
80,1500,2187
83,1492,2187
85,1491,2187
77,1498,2187
72,1503,2187
74,1508,2187
74,1524,2187
70,1518,2187
73,1528,2187
76,1518,2187
76,1529,2187
71,1517,2187
69,1520,2187
71,1529,2187
73,1530,2187
72,1522,2187
70,1523,2187
72,1529,2187
78,1528,2187
80,1517,2187
79,1515,2187
77,1512,2187
80,1519,2187
78,1515,2187
79,1512,2187
80,1511,2187
83,1500,2187
83,1502,2187
86,1490,2187
90,1492,2187
92,1476,2187
93,1463,2187
94,1455,2187
94,1453,2187
92,1433,2187
92,1427,2187
90,1422,2187
88,1427,2187
88,1418,2187
90,1413,2187
90,1397,2187
88,1380,2187
91,1379,2187
94,1381,2187
92,1379,2187
91,1386,2187
89,1397,2187
87,1408,2187
84,1412,2187
85,1417,2187
79,1432,2187
80,1441,2187
78,1450,2187
75,1457,2187
69,1471,2187
67,1484,2187
69,1502,2187
72,1517,2187
74,1523,2187
74,1524,2187
77,1513,2187
74,1517,2187
73,1511,2187
76,1506,2187
78,1503,2187
73,1523,2187
74,1537,2187
77,1538,2187
73,1536,2187
70,1541,2187
71,1560,2187
72,1571,2187
69,1569,2187
66,1580,2187
65,1582,2187
69,1584,2187
68,1581,2187
68,1590,2187
67,1578,2187
64,1591,2187
64,1582,2187
67,1589,2187
67,1591,2187
68,1586,2187
72,1586,2187
74,1587,2187
74,1584,2187
71,1596,2187
68,1590,2187
72,1587,2187
73,1591,2187
77,1583,2187
81,1570,2187
80,1579,2187
74,1564,2187
76,1556,2187
75,1556,2187
79,1544,2187
78,1549,2187
80,1553,2187
83,1530,2187
84,1526,2187
85,1525,2187
84,1529,2187
85,1526,2187
87,1526,2187
85,1519,2187
84,1515,2187
84,1511,2187
90,1506,2187
95,1495,2187
98,1488,2187
100,1468,2187
99,1456,2187
97,1450,2187
99,1441,2187
95,1438,2187
91,1428,2187
91,1420,2187
89,1424,2187
83,1427,2187
83,1417,2187
84,1410,2187
84,1421,2187
82,1426,2187
83,1423,2187
80,1424,2187
79,1435,2187
80,1448,2187
80,1471,2187
80,1473,2187
80,1473,2187
82,1483,2187
78,1477,2187
77,1481,2187
77,1477,2187
77,1486,2187
79,1485,2187
79,1487,2187
80,1478,2187
80,1482,2187
85,1484,2187
84,1485,2187
86,1476,2187
86,1476,2187
90,1481,2187
96,1459,2187
100,1459,2187
99,1447,2187
97,1434,2187
95,1417,2187
95,1416,2187
100,1393,2187
101,1374,2187
98,1368,2187
97,1379,2187
96,1378,2187
96,1378,2187
92,1375,2187
92,1381,2187
92,1389,2187
90,1388,2187
89,1374,2187
90,1380,2187
83,1396,2187
82,1410,2187
83,1412,2187
87,1411,2187
87,1409,2187
88,1427,2187
88,1445,2187
87,1444,2187
89,1438,2187
91,1435,2187
92,1434,2186
92,1432,2183
88,1427,2180
90,1426,2177
92,1434,2173
91,1432,2170
89,1428,2169
90,1433,2169
90,1415,2167
91,1421,2169
91,1421,2168
89,1425,2165
92,1444,2167
96,1441,2168
98,1432,2165
97,1428,2164
95,1438,2163
99,1453,2162
102,1451,2162
94,1449,2161
94,1440,2163
94,1424,2161
95,1427,2160
93,1439,2157
91,1438,2157
92,1436,2160
94,1442,2161
98,1450,2161
96,1446,2163
98,1452,2164
93,1448,2168
91,1452,2165
91,1448,2163
93,1452,2162
91,1461,2158
93,1466,2157
95,1479,2152
92,1492,2148
92,1492,2145
89,1509,2139
90,1491,2133
89,1502,2128
89,1508,2124
86,1518,2119
87,1520,2117
87,1527,2113
89,1534,2111
88,1545,2109
90,1552,2104
91,1553,2096
90,1553,2095
87,1551,2090
90,1547,2092
89,1552,2088
88,1550,2083
88,1546,2078
90,1539,2076
90,1537,2078
96,1533,2080
93,1529,2080
93,1538,2081
93,1537,2084
90,1542,2088
93,1551,2093
93,1551,2095
91,1536,2102
88,1527,2108
91,1524,2114
94,1514,2114
96,1509,2116
93,1513,2119
92,1508,2120
92,1503,2120
92,1500,2122
88,1495,2124
87,1487,2127
88,1490,2129
91,1473,2134
89,1473,2138
91,1472,2137
88,1475,2136
87,1469,2138
87,1473,2140
85,1472,2141
84,1471,2142
88,1463,2145
88,1463,2144
88,1446,2144
88,1444,2144
92,1423,2144
95,1420,2143
93,1405,2145
91,1407,2145
95,1414,2145
99,1418,2145
101,1414,2147
101,1401,2147
102,1389,2149
99,1383,2150
102,1390,2148
102,1371,2150
104,1370,2150
105,1375,2151
104,1381,2154
104,1373,2152
97,1381,2153
97,1394,2154
95,1402,2156
94,1414,2158
94,1412,2158
94,1399,2157
90,1399,2158
88,1410,2158
87,1411,2160
86,1409,2160
88,1401,2162
90,1411,2163
94,1412,2163
96,1404,2164
102,1400,2163
102,1399,2163
105,1386,2165
105,1402,2165
104,1413,2168
103,1412,2168
104,1396,2170
98,1393,2171
93,1382,2172
90,1397,2174
85,1408,2175
83,1421,2176
81,1429,2176
83,1437,2177
82,1438,2178
82,1451,2179
78,1459,2179
80,1470,2179
82,1466,2180
85,1466,2180
83,1457,2181
77,1451,2181
78,1450,2182
80,1450,2182
83,1449,2182
88,1452,2182
86,1441,2182
86,1433,2182
86,1428,2182
86,1420,2182
83,1422,2183
85,1423,2183
87,1422,2183
91,1403,2183
89,1411,2183
88,1421,2183
84,1417,2183
86,1414,2184
86,1418,2184
86,1418,2184
89,1414,2184
88,1410,2184
86,1415,2184
85,1422,2184
87,1422,2184
86,1425,2184
84,1436,2184
86,1429,2184
88,1438,2184
89,1441,2184
85,1445,2184
81,1451,2184
80,1460,2184
83,1453,2184
81,1453,2184
78,1457,2184
76,1455,2184
77,1453,2184
75,1457,2184
77,1458,2184
76,1471,2184
75,1467,2184
74,1472,2184
74,1495,2184
76,1491,2184
78,1482,2184
79,1474,2184
79,1479,2184
81,1478,2184
82,1470,2184
85,1462,2185
84,1460,2185
83,1467,2185
82,1466,2185
85,1457,2185
85,1454,2185
79,1471,2185
79,1465,2185
79,1470,2185
77,1476,2185
75,1479,2186
77,1473,2186
75,1482,2186
75,1483,2186
74,1484,2187
77,1489,2187
79,1497,2187
82,1492,2187
87,1484,2187
85,1492,2187
84,1491,2187
82,1497,2187
80,1502,2187
75,1516,2187
73,1528,2187
72,1524,2187
74,1526,2187
72,1527,2187
74,1527,2187
75,1534,2187
76,1519,2187
77,1519,2187
78,1522,2187
79,1512,2187
81,1489,2187
79,1481,2187
77,1470,2187
80,1475,2187
83,1478,2187
86,1462,2187
79,1463,2187
80,1462,2187
81,1469,2187
82,1457,2187
82,1460,2187
84,1458,2187
92,1451,2187
97,1431,2187
95,1424,2187
95,1411,2187
96,1407,2187
94,1402,2187
91,1393,2187
93,1409,2187
