locusts,left-grass,right-grass
50,2140,2187
50,2108,2187
50,2072,2187
50,2037,2187
49,2007,2187
49,1993,2187
49,1968,2187
47,1958,2187
46,1941,2187
45,1923,2187
45,1905,2187
44,1895,2187
44,1876,2187
44,1861,2187
44,1842,2187
44,1839,2187
43,1830,2187
43,1817,2187
42,1814,2187
42,1814,2187
41,1803,2187
42,1798,2187
43,1789,2187
44,1791,2187
42,1795,2187
41,1797,2187
44,1806,2187
48,1814,2187
49,1812,2187
52,1808,2187
53,1807,2187
55,1808,2187
54,1803,2187
54,1802,2187
55,1789,2187
57,1785,2187
60,1769,2187
61,1750,2187
65,1738,2187
69,1733,2187
72,1708,2187
75,1688,2187
77,1675,2187
80,1656,2187
78,1640,2187
81,1623,2187
82,1602,2187
80,1589,2187
81,1572,2187
81,1576,2187
79,1563,2187
80,1552,2187
81,1548,2187
85,1563,2187
84,1563,2187
83,1556,2187
80,1549,2187
79,1543,2187
79,1538,2187
83,1539,2187
78,1543,2187
79,1545,2187
81,1534,2187
81,1515,2187
80,1509,2187
78,1509,2187
79,1513,2187
80,1511,2187
75,1504,2187
73,1502,2187
70,1511,2187
70,1515,2187
71,1519,2187
70,1505,2187
73,1507,2187
74,1512,2187
71,1515,2187
72,1519,2187
73,1540,2187
76,1535,2187
76,1532,2187
80,1529,2187
79,1525,2187
80,1527,2187
82,1522,2187
79,1515,2187
75,1515,2187
76,1525,2187
76,1530,2187
74,1532,2187
71,1528,2187
74,1535,2187
75,1519,2187
76,1511,2187
78,1515,2187
78,1526,2187
77,1518,2187
76,1518,2187
76,1519,2187
78,1523,2187
80,1534,2187
80,1513,2187
82,1513,2187
82,1509,2187
86,1496,2187
89,1490,2187
88,1483,2187
89,1481,2187
91,1473,2187
92,1470,2187
90,1475,2187
85,1468,2187
89,1462,2187
90,1459,2187
87,1462,2187
86,1463,2187
89,1452,2187
88,1442,2187
88,1421,2187
90,1422,2187
89,1428,2187
85,1431,2187
85,1425,2187
89,1427,2187
86,1420,2187
84,1414,2187
84,1416,2187
83,1410,2187
82,1428,2187
79,1437,2187
80,1431,2187
83,1435,2187
83,1419,2187
84,1427,2187
81,1430,2187
81,1447,2187
83,1446,2187
82,1443,2187
86,1437,2187
87,1444,2187
85,1446,2187
90,1443,2187
93,1432,2187
94,1420,2187
96,1421,2187
96,1406,2187
97,1391,2187
95,1381,2187
94,1383,2187
96,1384,2187
96,1368,2187
96,1370,2187
94,1372,2187
98,1353,2187
101,1365,2187
99,1376,2187
98,1370,2187
96,1365,2187
94,1364,2187
95,1376,2187
95,1387,2187
95,1390,2187
92,1398,2187
89,1391,2187
87,1394,2187
86,1400,2187
85,1400,2187
85,1395,2187
84,1389,2187
82,1400,2187
84,1393,2187
84,1392,2187
82,1414,2187
81,1410,2187
79,1415,2187
80,1412,2187
81,1414,2187
84,1417,2187
85,1426,2187
87,1435,2187
85,1427,2187
86,1431,2187
91,1433,2187
94,1423,2187
95,1413,2187
96,1406,2187
93,1411,2187
93,1399,2187
93,1409,2187
93,1403,2187
95,1408,2187
98,1414,2187
97,1424,2187
97,1410,2187
98,1395,2187
100,1401,2187
97,1394,2187
98,1389,2187
99,1392,2187
103,1398,2187
103,1391,2187
99,1398,2187
96,1388,2187
99,1377,2187
101,1376,2187
101,1373,2187
99,1382,2187
99,1380,2187
99,1383,2187
102,1385,2187
105,1388,2187
104,1388,2187
102,1378,2187
101,1376,2187
99,1389,2187
99,1404,2187
95,1418,2187
92,1428,2187
88,1428,2187
86,1439,2187
85,1450,2187
83,1455,2187
83,1454,2187
85,1459,2187
80,1471,2187
81,1475,2186
81,1477,2186
76,1488,2186
75,1499,2187
72,1512,2186
72,1518,2186
69,1528,2186
68,1525,2186
67,1520,2186
68,1531,2186
68,1536,2186
67,1523,2186
68,1526,2186
73,1530,2186
74,1526,2186
73,1521,2187
73,1517,2187
78,1506,2187
81,1499,2187
81,1495,2187
82,1497,2187
86,1487,2187
89,1488,2187
88,1480,2187
89,1483,2187
88,1478,2187
89,1481,2187
89,1476,2187
85,1472,2187
83,1471,2187
82,1457,2187
83,1468,2187
80,1480,2187
81,1491,2187
82,1499,2187
83,1488,2187
80,1490,2187
78,1496,2187
82,1498,2187
83,1495,2187
83,1482,2187
80,1475,2187
79,1480,2187
81,1473,2187
83,1473,2187
87,1464,2187
86,1468,2187
86,1453,2187
86,1447,2187
84,1446,2187
84,1438,2187
86,1448,2187
88,1454,2187
84,1457,2187
82,1459,2187
85,1460,2187
81,1466,2187
80,1470,2187
84,1470,2187
83,1473,2187
82,1484,2187
81,1475,2187
80,1477,2187
82,1476,2187
83,1471,2187
81,1476,2187
81,1492,2187
83,1488,2187
86,1472,2187
89,1470,2187
90,1471,2187
89,1476,2187
89,1455,2187
89,1442,2187
88,1427,2187
87,1414,2187
90,1412,2187
90,1407,2187
90,1424,2187
92,1425,2187
91,1434,2187
89,1427,2187
86,1421,2187
86,1417,2187
86,1423,2187
85,1430,2187
82,1438,2187
82,1442,2187
83,1456,2187
85,1439,2187
91,1449,2187
94,1440,2187
94,1448,2187
94,1443,2185
93,1454,2184
88,1450,2181
86,1443,2180
84,1436,2178
84,1436,2176
82,1434,2174
83,1437,2173
84,1451,2173
83,1460,2172
80,1458,2170
82,1461,2171
86,1456,2170
90,1454,2171
89,1448,2171
92,1443,2168
94,1438,2167
94,1446,2166
92,1457,2164
90,1460,2163
88,1462,2163
88,1475,2160
87,1480,2159
84,1492,2160
85,1493,2161
84,1504,2161
83,1494,2161
79,1483,2160
80,1485,2158
78,1491,2158
76,1504,2159
76,1529,2159
74,1525,2159
75,1521,2159
71,1515,2160
72,1516,2162
73,1516,2161
76,1514,2162
75,1518,2161
72,1520,2164
