locusts,left-grass,right-grass
50,2141,2187
50,2101,2187
50,2068,2187
49,2034,2187
49,2009,2187
49,1987,2187
49,1972,2187
49,1953,2187
49,1930,2187
49,1912,2187
47,1906,2187
47,1896,2187
44,1891,2187
43,1882,2187
43,1876,2187
43,1873,2187
42,1868,2187
42,1864,2187
42,1850,2187
41,1846,2187
40,1844,2187
40,1847,2187
39,1837,2187
38,1835,2187
39,1837,2187
38,1843,2187
40,1851,2187
43,1861,2187
45,1857,2187
47,1860,2187
47,1851,2187
46,1855,2187
46,1858,2187
45,1859,2187
45,1870,2187
44,1866,2187
45,1869,2187
42,1874,2187
42,1889,2187
43,1884,2187
39,1890,2187
39,1906,2187
41,1904,2187
41,1899,2187
42,1900,2187
44,1897,2187
45,1900,2187
45,1894,2187
45,1888,2187
46,1881,2187
50,1870,2187
51,1865,2186
52,1858,2185
53,1842,2184
57,1835,2184
55,1823,2184
55,1820,2183
59,1811,2184
60,1793,2182
63,1776,2182
68,1756,2181
69,1744,2180
73,1721,2180
74,1694,2179
77,1694,2178
75,1674,2178
75,1670,2176
76,1651,2175
79,1633,2175
81,1611,2175
82,1599,2174
86,1591,2173
88,1578,2176
89,1585,2176
88,1580,2178
86,1572,2177
89,1565,2178
88,1557,2180
86,1548,2179
83,1543,2179
83,1552,2178
81,1556,2178
77,1556,2178
77,1557,2178
77,1558,2179
79,1547,2180
75,1550,2180
70,1558,2180
63,1561,2180
62,1555,2181
61,1557,2181
63,1561,2181
60,1565,2183
60,1561,2183
57,1573,2184
60,1571,2184
61,1576,2184
64,1574,2184
64,1593,2185
63,1596,2185
62,1599,2186
62,1596,2186
63,1597,2186
69,1596,2186
74,1583,2186
80,1576,2186
81,1563,2186
79,1549,2186
79,1548,2187
85,1533,2187
86,1513,2187
89,1499,2187
95,1483,2187
97,1471,2187
97,1460,2187
94,1461,2187
96,1451,2187
95,1452,2187
97,1447,2187
95,1443,2187
95,1437,2187
95,1443,2187
98,1441,2187
99,1427,2187
99,1417,2187
97,1396,2187
98,1395,2187
100,1409,2187
100,1402,2187
97,1405,2187
98,1405,2187
98,1406,2187
97,1418,2187
98,1424,2187
94,1434,2187
90,1430,2187
89,1427,2187
82,1422,2187
83,1426,2187
85,1434,2187
81,1434,2187
79,1437,2187
78,1439,2187
74,1458,2187
73,1479,2187
76,1494,2187
75,1498,2187
72,1515,2187
72,1507,2187
72,1517,2187
67,1524,2187
67,1533,2187
63,1539,2187
62,1541,2187
61,1558,2187
60,1552,2187
58,1566,2187
63,1565,2187
67,1564,2187
71,1552,2187
71,1547,2187
69,1558,2187
72,1552,2187
73,1552,2187
74,1550,2187
75,1560,2187
78,1548,2187
81,1542,2187
81,1539,2187
81,1522,2187
